Date,Holiday Name,Information,More Information,Jurisdiction,Day Of Week
26/12/2022,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
27/12/2022,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2022, there is an additional public holiday on the Monday.",https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Tuesday
1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Sunday
2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Sunday in 2023, the following Monday is observed as an additional public holiday.",https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
26/01/2023,Australia Day,Always celebrated on 26 January,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Thursday
13/03/2023,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Friday
8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Saturday
9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Sunday
10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Tuesday
29/05/2023,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
12/06/2023,Sovereign's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
2/10/2023,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Tuesday
1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Sunday
2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
26/01/2023,Australia Day,Always celebrated on 26 January,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Thursday
7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Friday
8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Saturday
9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Sunday
10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Tuesday
12/06/2023,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
7/08/2023,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
2/10/2023,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Tuesday
1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://nt.gov.au/nt-public-holidays,Northern Territory,Sunday
2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
26/01/2023,Australia Day,Always celebrated on 26 January,https://nt.gov.au/nt-public-holidays,Northern Territory,Thursday
7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://nt.gov.au/nt-public-holidays,Northern Territory,Friday
8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://nt.gov.au/nt-public-holidays,Northern Territory,Saturday
9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://nt.gov.au/nt-public-holidays,Northern Territory,Sunday
10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://nt.gov.au/nt-public-holidays,Northern Territory,Tuesday
1/05/2023,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
12/06/2023,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
7/08/2023,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
24/12/2023,Christmas Eve,Part-day holiday 7pm to midnight,https://nt.gov.au/nt-public-holidays,Northern Territory,Sunday
25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://nt.gov.au/nt-public-holidays,Northern Territory,Tuesday
31/12/2023,New Year's Eve,Part-day holiday 7pm to midnight,https://nt.gov.au/nt-public-holidays,Northern Territory,Sunday
1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Sunday
2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
26/01/2023,Australia Day,Always celebrated on 26 January,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Thursday
7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Friday
8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Saturday
9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Sunday
10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Tuesday
1/05/2023,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
16/08/2023,Royal Queensland Show (Brisbane only),"The Royal National Agricultural (RNA) Show Day (Brisbane only) is held on the Wednesday during the RNA Show period. The RNA Show commences on the first Friday in August, unless the first Friday is prior to 5 August, then it commences on the second Friday of August.",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Wednesday
2/10/2023,Kings Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
24/12/2023,Christmas Eve,"From 2019, the Holidays Act 1983 provides for a part-day public holiday from 6pm to midnight on Christmas Eve",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Sunday
25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Tuesday
1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Sunday
2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
26/01/2023,Australia Day,Always celebrated on 26 January,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Thursday
13/03/2023,Adelaide Cup Day,"The Holidays Act 1910 provides for the third Monday in May to be a public holiday, through the issuing of a special Proclamation by the Governor.",https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Friday
8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Saturday
10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Tuesday
12/06/2023,Kings Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
2/10/2023,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
24/12/2023,Christmas Eve,7pm to midnight,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Sunday
25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
26/12/2023,Boxing Day / Proclamation Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Tuesday
31/12/2023,New Year's Eve,7pm to midnight,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Sunday
1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Sunday
2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Monday
26/01/2023,Australia Day,Always celebrated on 26 January,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Thursday
13/03/2023,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Monday
7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Friday
10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Monday
11/04/2023,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Tuesday
25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Tuesday
12/06/2023,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Monday
25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Monday
26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania,Tuesday
1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://business.vic.gov.au/business-information/public-holidays,Victoria,Sunday
2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://business.vic.gov.au/business-information/public-holidays,Victoria,Monday
26/01/2023,Australia Day,Always celebrated on 26 January,https://business.vic.gov.au/business-information/public-holidays,Victoria,Thursday
13/03/2023,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://business.vic.gov.au/business-information/public-holidays,Victoria,Monday
7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://business.vic.gov.au/business-information/public-holidays,Victoria,Friday
8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://business.vic.gov.au/business-information/public-holidays,Victoria,Saturday
9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://business.vic.gov.au/business-information/public-holidays,Victoria,Sunday
10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://business.vic.gov.au/business-information/public-holidays,Victoria,Monday
25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://business.vic.gov.au/business-information/public-holidays,Victoria,Tuesday
12/06/2023,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://business.vic.gov.au/business-information/public-holidays,Victoria,Monday
29/09/2023,Friday before the AFL Grand Final,Friday before the AFL Grand Final,https://business.vic.gov.au/business-information/public-holidays,Victoria,Friday
7/11/2023,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,https://business.vic.gov.au/business-information/public-holidays,Victoria,Tuesday
25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://business.vic.gov.au/business-information/public-holidays,Victoria,Monday
26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://business.vic.gov.au/business-information/public-holidays,Victoria,Tuesday
1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Sunday
2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
26/01/2023,Australia Day,Always celebrated on 26 January,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Thursday
6/03/2023,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Friday
9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Sunday
10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Tuesday
5/06/2023,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
25/09/2023,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Tuesday
1/01/2024,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
26/01/2024,Australia Day,Always celebrated on 26 January,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Friday
11/03/2024,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
29/03/2024,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Friday
30/03/2024,Easter Saturday - the day after Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Saturday
31/03/2024,Easter Sunday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Sunday
1/04/2024,Easter Monday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
25/04/2024,Anzac Day,Celebrated on the 25 April each year.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Thursday
27/05/2024,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
10/06/2024,Sovereign's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
7/10/2024,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
25/12/2024,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Wednesday
26/12/2024,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Thursday
1/01/2024,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
26/01/2024,Australia Day,Always celebrated on 26 January,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Friday
29/03/2024,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Friday
30/03/2024,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Saturday
31/03/2024,Easter Sunday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Sunday
1/04/2024,Easter Monday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
25/04/2024,Anzac Day,Celebrated on the 25 April each year.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Thursday
10/06/2024,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
5/08/2024,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
7/10/2024,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Monday
25/12/2024,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Wednesday
26/12/2024,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.nsw.gov.au/about-nsw/public-holidays,New South Wales,Thursday
1/01/2024,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
26/01/2024,Australia Day,Always celebrated on 26 January,https://nt.gov.au/nt-public-holidays,Northern Territory,Friday
29/03/2024,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://nt.gov.au/nt-public-holidays,Northern Territory,Friday
30/03/2024,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://nt.gov.au/nt-public-holidays,Northern Territory,Saturday
31/03/2024,Easter Sunday,Public Holiday as part of Easter.,https://nt.gov.au/nt-public-holidays,Northern Territory,Sunday
1/04/2024,Easter Monday,Public Holiday as part of Easter.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
25/04/2024,Anzac Day,Celebrated on the 25 April each year.,https://nt.gov.au/nt-public-holidays,Northern Territory,Thursday
6/05/2024,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
10/06/2024,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
5/08/2024,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
24/12/2024,Christmas Eve,Part-day holiday 7pm to midnight,https://nt.gov.au/nt-public-holidays,Northern Territory,Tuesday
25/12/2024,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://nt.gov.au/nt-public-holidays,Northern Territory,Wednesday
26/12/2024,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://nt.gov.au/nt-public-holidays,Northern Territory,Thursday
31/12/2024,New Year's Eve,Part-day holiday 7pm to midnight,https://nt.gov.au/nt-public-holidays,Northern Territory,Tuesday
1/01/2024,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
26/01/2024,Australia Day,Always celebrated on 26 January,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Friday
29/03/2024,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Friday
30/03/2024,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Saturday
31/03/2024,Easter Sunday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Sunday
1/04/2024,Easter Monday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
25/04/2024,Anzac Day,Celebrated on the 25 April each year.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Thursday
6/05/2024,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
14/08/2024,Royal Queensland Show (Brisbane only),"The Royal National Agricultural (RNA) Show Day (Brisbane only) is held on the Wednesday during the RNA Show period. The RNA Show commences on the first Friday in August, unless the first Friday is prior to 5 August, then it commences on the second Friday of August.",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Wednesday
7/10/2024,King’s Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
24/12/2024,Christmas Eve,"From 2019, the Holidays Act 1983 provides for a part-day public holiday from 6pm to midnight on Christmas Eve",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Tuesday
25/12/2024,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Wednesday
26/12/2024,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Thursday
1/01/2024,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
26/01/2024,Australia Day,Always celebrated on 26 January,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Friday
11/03/2024,Adelaide Cup Day (subject to Proclamation),"The Holidays Act 1910 provides for the third Monday in May to be a public holiday, through the issuing of a special Proclamation by the Governor.",https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
29/03/2024,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Friday
30/03/2024,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Saturday
1/04/2024,Easter Monday,Public Holiday as part of Easter.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
25/04/2024,Anzac Day,Celebrated on the 25 April each year.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Thursday
10/06/2024,King’s Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
7/10/2024,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
24/12/2024,Christmas Eve,7pm to midnight,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Tuesday
25/12/2024,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Wednesday
26/12/2024,Boxing Day / Proclamation Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Thursday
